path,filename,relative_path,size_bytes,readable,error,native_sample_rate,native_channels,native_frames,duration_sec,container,subtype,filename_conforms,fold_id,clip_uid,event_code,take_id,class_code,label,resampled_samples,n_windows,covered_samples,uncovered_sec
C:\Users\USER\Documents\ESP32-S3-BOX-3-Voice-project\acoustic-alert-system\data\raw\01-020-02-073-01.wav,01-020-02-073-01.wav,01-020-02-073-01.wav,288044,True,,48000,1,144000,3.0,WAV,PCM_16,True,01,020,02,073,01,fall,48000,5,46800,0.075
C:\Users\USER\Documents\ESP32-S3-BOX-3-Voice-project\acoustic-alert-system\data\raw\01-022-07-014-01.wav,01-022-07-014-01.wav,01-022-07-014-01.wav,288044,True,,48000,1,144000,3.0,WAV,PCM_16,True,01,022,07,014,01,fall,48000,5,46800,0.075
C:\Users\USER\Documents\ESP32-S3-BOX-3-Voice-project\acoustic-alert-system\data\raw\01-025-00-304-02.wav,01-025-00-304-02.wav,01-025-00-304-02.wav,288044,True,,48000,1,144000,3.0,WAV,PCM_16,True,01,025,00,304,02,non_fall,48000,5,46800,0.075
C:\Users\USER\Documents\ESP32-S3-BOX-3-Voice-project\acoustic-alert-system\data\raw\01-028-01-028-01.wav,01-028-01-028-01.wav,01-028-01-028-01.wav,288044,True,,48000,1,144000,3.0,WAV,PCM_16,True,01,028,01,028,01,fall,48000,5,46800,0.075
C:\Users\USER\Documents\ESP32-S3-BOX-3-Voice-project\acoustic-alert-system\data\raw\01-029-00-330-02.wav,01-029-00-330-02.wav,01-029-00-330-02.wav,288044,True,,48000,1,144000,3.0,WAV,PCM_16,True,01,029,00,330,02,non_fall,48000,5,46800,0.075
C:\Users\USER\Documents\ESP32-S3-BOX-3-Voice-project\acoustic-alert-system\data\raw\01-034-00-444-02.wav,01-034-00-444-02.wav,01-034-00-444-02.wav,288044,True,,48000,1,144000,3.0,WAV,PCM_16,True,01,034,00,444,02,non_fall,48000,5,46800,0.075
C:\Users\USER\Documents\ESP32-S3-BOX-3-Voice-project\acoustic-alert-system\data\raw\01-065-01-005-01.wav,01-065-01-005-01.wav,01-065-01-005-01.wav,288044,True,,48000,1,144000,3.0,WAV,PCM_16,True,01,065,01,005,01,fall,48000,5,46800,0.075
C:\Users\USER\Documents\ESP32-S3-BOX-3-Voice-project\acoustic-alert-system\data\raw\01-067-00-134-02.wav,01-067-00-134-02.wav,01-067-00-134-02.wav,288044,True,,48000,1,144000,3.0,WAV,PCM_16,True,01,067,00,134,02,non_fall,48000,5,46800,0.075
C:\Users\USER\Documents\ESP32-S3-BOX-3-Voice-project\acoustic-alert-system\data\raw\01-077-00-293-02.wav,01-077-00-293-02.wav,01-077-00-293-02.wav,288044,True,,48000,1,144000,3.0,WAV,PCM_16,True,01,077,00,293,02,non_fall,48000,5,46800,0.075
C:\Users\USER\Documents\ESP32-S3-BOX-3-Voice-project\acoustic-alert-system\data\raw\01-082-02-077-01.wav,01-082-02-077-01.wav,01-082-02-077-01.wav,288044,True,,48000,1,144000,3.0,WAV,PCM_16,True,01,082,02,077,01,fall,48000,5,46800,0.075
C:\Users\USER\Documents\ESP32-S3-BOX-3-Voice-project\acoustic-alert-system\data\raw\01-084-05-023-01.wav,01-084-05-023-01.wav,01-084-05-023-01.wav,288044,True,,48000,1,144000,3.0,WAV,PCM_16,True,01,084,05,023,01,fall,48000,5,46800,0.075
C:\Users\USER\Documents\ESP32-S3-BOX-3-Voice-project\acoustic-alert-system\data\raw\01-086-05-042-01.wav,01-086-05-042-01.wav,01-086-05-042-01.wav,288044,True,,48000,1,144000,3.0,WAV,PCM_16,True,01,086,05,042,01,fall,48000,5,46800,0.075
C:\Users\USER\Documents\ESP32-S3-BOX-3-Voice-project\acoustic-alert-system\data\raw\01-098-04-058-01.wav,01-098-04-058-01.wav,01-098-04-058-01.wav,288044,True,,48000,1,144000,3.0,WAV,PCM_16,True,01,098,04,058,01,fall,48000,5,46800,0.075
C:\Users\USER\Documents\ESP32-S3-BOX-3-Voice-project\acoustic-alert-system\data\raw\01-101-07-012-01.wav,01-101-07-012-01.wav,01-101-07-012-01.wav,288044,True,,48000,1,144000,3.0,WAV,PCM_16,True,01,101,07,012,01,fall,48000,5,46800,0.075
C:\Users\USER\Documents\ESP32-S3-BOX-3-Voice-project\acoustic-alert-system\data\raw\01-102-01-012-01.wav,01-102-01-012-01.wav,01-102-01-012-01.wav,288044,True,,48000,1,144000,3.0,WAV,PCM_16,True,01,102,01,012,01,fall,48000,5,46800,0.075
C:\Users\USER\Documents\ESP32-S3-BOX-3-Voice-project\acoustic-alert-system\data\raw\01-142-00-280-02.wav,01-142-00-280-02.wav,01-142-00-280-02.wav,288044,True,,48000,1,144000,3.0,WAV,PCM_16,True,01,142,00,280,02,non_fall,48000,5,46800,0.075
C:\Users\USER\Documents\ESP32-S3-BOX-3-Voice-project\acoustic-alert-system\data\raw\01-144-00-265-02.wav,01-144-00-265-02.wav,01-144-00-265-02.wav,288044,True,,48000,1,144000,3.0,WAV,PCM_16,True,01,144,00,265,02,non_fall,48000,5,46800,0.075
C:\Users\USER\Documents\ESP32-S3-BOX-3-Voice-project\acoustic-alert-system\data\raw\01-168-04-059-01.wav,01-168-04-059-01.wav,01-168-04-059-01.wav,288044,True,,48000,1,144000,3.0,WAV,PCM_16,True,01,168,04,059,01,fall,48000,5,46800,0.075
C:\Users\USER\Documents\ESP32-S3-BOX-3-Voice-project\acoustic-alert-system\data\raw\01-171-00-409-02.wav,01-171-00-409-02.wav,01-171-00-409-02.wav,288044,True,,48000,1,144000,3.0,WAV,PCM_16,True,01,171,00,409,02,non_fall,48000,5,46800,0.075
C:\Users\USER\Documents\ESP32-S3-BOX-3-Voice-project\acoustic-alert-system\data\raw\01-174-00-133-02.wav,01-174-00-133-02.wav,01-174-00-133-02.wav,288044,True,,48000,1,144000,3.0,WAV,PCM_16,True,01,174,00,133,02,non_fall,48000,5,46800,0.075
C:\Users\USER\Documents\ESP32-S3-BOX-3-Voice-project\acoustic-alert-system\data\raw\01-211-00-359-02.wav,01-211-00-359-02.wav,01-211-00-359-02.wav,288044,True,,48000,1,144000,3.0,WAV,PCM_16,True,01,211,00,359,02,non_fall,48000,5,46800,0.075
C:\Users\USER\Documents\ESP32-S3-BOX-3-Voice-project\acoustic-alert-system\data\raw\01-228-00-333-02.wav,01-228-00-333-02.wav,01-228-00-333-02.wav,288044,True,,48000,1,144000,3.0,WAV,PCM_16,True,01,228,00,333,02,non_fall,48000,5,46800,0.075
C:\Users\USER\Documents\ESP32-S3-BOX-3-Voice-project\acoustic-alert-system\data\raw\01-236-02-028-01.wav,01-236-02-028-01.wav,01-236-02-028-01.wav,288044,True,,48000,1,144000,3.0,WAV,PCM_16,True,01,236,02,028,01,fall,48000,5,46800,0.075
C:\Users\USER\Documents\ESP32-S3-BOX-3-Voice-project\acoustic-alert-system\data\raw\01-270-00-430-02.wav,01-270-00-430-02.wav,01-270-00-430-02.wav,288044,True,,48000,1,144000,3.0,WAV,PCM_16,True,01,270,00,430,02,non_fall,48000,5,46800,0.075
C:\Users\USER\Documents\ESP32-S3-BOX-3-Voice-project\acoustic-alert-system\data\raw\01-286-07-052-01.wav,01-286-07-052-01.wav,01-286-07-052-01.wav,288044,True,,48000,1,144000,3.0,WAV,PCM_16,True,01,286,07,052,01,fall,48000,5,46800,0.075
